Ticket_ID,Customer_ID,Ticket_Date,Issue_Category,Product_Category,Priority,Status,Assigned_Agent,Response_Time_Hours,Resolution_Time_Hours,Customer_Satisfaction_Rating,Region,Channel,Escalated
TCK104961,CUST29452,2024-02-18 16:26:59,Refund Request,Books & Media,Low,Closed,Pooja Desai,0.56,7.54,2.0,Central,Phone,No
TCK102089,CUST31892,2024-10-23 07:04:07,Payment Failure,Mobile & Accessories,Medium,In Progress,Aditya Singh,4.61,,,North,Email,No
TCK100397,CUST24801,2024-04-26 11:57:58,Feature Request,Home Appliances,High,Resolved,Priya Nair,0.29,2.45,,North,Chat,No
TCK106386,CUST38689,2024-02-02 10:30:20,Technical Support,Electronics,Low,Closed,Priya Nair,1.3,3.86,4.0,North,Chat,No
TCK102620,CUST29679,2024-12-12 05:30:18,Feature Request,Electronics,High,Closed,Rahul Joshi,2.69,6.52,4.0,South,Web,No
TCK102168,CUST23128,2024-10-26 00:14:50,Warranty Claim,Groceries,Low,Resolved,Rohan Mehta,0.31,1.95,3.0,Central,Phone,No
TCK100374,CUST25792,2024-11-25 20:25:52,Delivery Delay,Software/Subscription,Low,Closed,Arjun Malhotra,0.1,7.26,5.0,South,Phone,No
TCK106299,CUST17366,2024-03-12 01:03:14,Warranty Claim,Groceries,Low,Closed,Aarav Sharma,0.4,58.73,2.0,Central,Phone,No
TCK107855,CUST38086,2024-10-14 11:09:11,Technical Support,Groceries,Low,Closed,Arjun Malhotra,0.14,5.78,3.0,,Phone,No
TCK102393,CUST18397,2024-05-23 12:37:08,Warranty Claim,Books & Media,Medium,In Progress,Aarav Sharma,0.68,,,North,Chat,No
TCK102772,CUST38532,2024-11-03 02:09:20,App Crash,Electronics,Medium,In Progress,Divya Menon,0.2,,,Central,Chat,No
TCK107408,CUST39920,2024-07-23 00:09:06,Account Access,Books & Media,High,Closed,Manish Kumar,0.2,2.0,4.0,East,Phone,No
TCK110627,CUST41988,2024-09-14 18:54:32,App Crash,Home Appliances,Critical,Resolved,Neha Gupta,0.1,8.7,4.0,Central,Chat,No
TCK101023,CUST33544,2024-07-07 22:32:30,Login Problem,Books & Media,Low,Closed,Rohan Mehta,2.22,25.74,3.0,South,Web,No
TCK100625,CUST18989,2024-06-11 15:44:20,Login Problem,Home Appliances,Medium,In Progress,Priya Nair,0.97,,,East,Web,No
TCK102326,CUST34122,2024-10-14 09:21:06,Billing Issue,Furniture,High,Closed,Rohan Mehta,0.88,0.6,4.0,East,Email,Yes
TCK111554,CUST28908,2024-02-06 08:35:45,Product Defect,Books & Media,Low,Closed,Aarav Sharma,8.3,14.69,4.0,West,Email,No
TCK101283,CUST37093,2024-12-22 12:34:01,Account Access,Books & Media,Medium,Closed,Arjun Malhotra,0.44,2.1,5.0,Central,Chat,No
